lesion_name,dataset_id,dataset_name,p,r,tp,fp,fn,volume,pred_volume
ULSDL3D_000042_03_01_043_lesion_01.nii.gz,1,ct,0.0,0.0,0,1119,494,494.0,1119
ULSDL3D_000042_03_01_043_lesion_01.nii.gz,2,ct+seg,0.215,0.609,301,1099,193,494.0,1400
ULSDL3D_000042_03_01_043_lesion_01.nii.gz,3,ct+seg+box,0.729,0.791,391,145,103,494.0,536
ULSDL3D_000042_03_01_043_lesion_01.nii.gz,5,ct+seg+2box,0.723,0.931,460,176,34,494.0,636
ULSDL3D_000042_03_01_043_lesion_01.nii.gz,6,ct+seg+mask,0.769,0.741,366,110,128,494.0,476
ULSDL3D_000042_03_01_043_lesion_01.nii.gz,7,ct+seg+2mask,0.867,0.96,474,73,20,494.0,547
ULSDL3D_000090_01_01_115_lesion_01.nii.gz,1,ct,0.0,0.0,0,1112,173,173.0,1112
ULSDL3D_000090_01_01_115_lesion_01.nii.gz,2,ct+seg,0.648,0.595,103,56,70,173.0,159
ULSDL3D_000090_01_01_115_lesion_01.nii.gz,3,ct+seg+box,0.56,0.948,164,129,9,173.0,293
ULSDL3D_000090_01_01_115_lesion_01.nii.gz,5,ct+seg+2box,0.771,0.855,148,44,25,173.0,192
ULSDL3D_000090_01_01_115_lesion_01.nii.gz,6,ct+seg+mask,0.584,0.867,150,107,23,173.0,257
ULSDL3D_000090_01_01_115_lesion_01.nii.gz,7,ct+seg+2mask,0.827,0.665,115,24,58,173.0,139
ULSDL3D_000091_03_01_058_lesion_01.nii.gz,1,ct,0.0,0.0,0,2279,159,159.0,2279
ULSDL3D_000091_03_01_058_lesion_01.nii.gz,2,ct+seg,0.13,0.881,140,933,19,159.0,1073
ULSDL3D_000091_03_01_058_lesion_01.nii.gz,3,ct+seg+box,0.613,0.836,133,84,26,159.0,217
ULSDL3D_000091_03_01_058_lesion_01.nii.gz,5,ct+seg+2box,0.847,0.73,116,21,43,159.0,137
ULSDL3D_000091_03_01_058_lesion_01.nii.gz,6,ct+seg+mask,0.616,0.868,138,86,21,159.0,224
ULSDL3D_000091_03_01_058_lesion_01.nii.gz,7,ct+seg+2mask,0.966,0.711,113,4,46,159.0,117
ULSDL3D_000103_13_01_019_lesion_01.nii.gz,1,ct,0.649,0.947,323,175,18,341.0,498
ULSDL3D_000103_13_01_019_lesion_01.nii.gz,2,ct+seg,0.763,0.915,312,97,29,341.0,409
ULSDL3D_000103_13_01_019_lesion_01.nii.gz,3,ct+seg+box,0.847,0.748,255,46,86,341.0,301
ULSDL3D_000103_13_01_019_lesion_01.nii.gz,5,ct+seg+2box,0.723,0.88,300,115,41,341.0,415
ULSDL3D_000103_13_01_019_lesion_01.nii.gz,6,ct+seg+mask,0.895,0.777,265,31,76,341.0,296
ULSDL3D_000103_13_01_019_lesion_01.nii.gz,7,ct+seg+2mask,0.921,0.891,304,26,37,341.0,330
ULSDL3D_000116_07_02_163_lesion_01.nii.gz,1,ct,0.0,0.0,0,495,76,76.0,495
ULSDL3D_000116_07_02_163_lesion_01.nii.gz,2,ct+seg,0.0,0.0,0,411,76,76.0,411
ULSDL3D_000116_07_02_163_lesion_01.nii.gz,3,ct+seg+box,0.0,0.0,0,0,76,76.0,0
ULSDL3D_000116_07_02_163_lesion_01.nii.gz,5,ct+seg+2box,0.789,0.737,56,15,20,76.0,71
ULSDL3D_000116_07_02_163_lesion_01.nii.gz,6,ct+seg+mask,0.0,0.0,0,652,76,76.0,652
ULSDL3D_000116_07_02_163_lesion_01.nii.gz,7,ct+seg+2mask,0.836,0.605,46,9,30,76.0,55
ULSDL3D_000117_03_01_040_lesion_01.nii.gz,1,ct,0.0,0.0,0,447,120,120.0,447
ULSDL3D_000117_03_01_040_lesion_01.nii.gz,2,ct+seg,0.137,0.675,81,509,39,120.0,590
ULSDL3D_000117_03_01_040_lesion_01.nii.gz,3,ct+seg+box,0.456,0.917,110,131,10,120.0,241
ULSDL3D_000117_03_01_040_lesion_01.nii.gz,5,ct+seg+2box,0.82,0.908,109,24,11,120.0,133
ULSDL3D_000117_03_01_040_lesion_01.nii.gz,6,ct+seg+mask,0.67,1.0,120,59,0,120.0,179
ULSDL3D_000117_03_01_040_lesion_01.nii.gz,7,ct+seg+2mask,1.0,0.992,119,0,1,120.0,119
ULSDL3D_000136_02_01_024_lesion_01.nii.gz,1,ct,0.029,0.026,8,267,305,313.0,275
ULSDL3D_000136_02_01_024_lesion_01.nii.gz,2,ct+seg,0.751,0.703,220,73,93,313.0,293
ULSDL3D_000136_02_01_024_lesion_01.nii.gz,3,ct+seg+box,0.63,0.815,255,150,58,313.0,405
ULSDL3D_000136_02_01_024_lesion_01.nii.gz,5,ct+seg+2box,0.962,0.802,251,10,62,313.0,261
ULSDL3D_000136_02_01_024_lesion_01.nii.gz,6,ct+seg+mask,0.724,0.863,270,103,43,313.0,373
ULSDL3D_000136_02_01_024_lesion_01.nii.gz,7,ct+seg+2mask,0.996,0.869,272,1,41,313.0,273
ULSDL3D_000148_06_01_034_lesion_01.nii.gz,1,ct,0.0,0.0,0,58,134,134.0,58
ULSDL3D_000148_06_01_034_lesion_01.nii.gz,2,ct+seg,0.046,0.478,64,1334,70,134.0,1398
ULSDL3D_000148_06_01_034_lesion_01.nii.gz,3,ct+seg+box,0.942,0.604,81,5,53,134.0,86
ULSDL3D_000148_06_01_034_lesion_01.nii.gz,5,ct+seg+2box,0.901,0.746,100,11,34,134.0,111
ULSDL3D_000148_06_01_034_lesion_01.nii.gz,6,ct+seg+mask,0.866,0.53,71,11,63,134.0,82
ULSDL3D_000148_06_01_034_lesion_01.nii.gz,7,ct+seg+2mask,0.963,0.776,104,4,30,134.0,108
ULSDL3D_000156_02_01_037_lesion_01.nii.gz,1,ct,0.0,0.0,0,945,169,169.0,945
ULSDL3D_000156_02_01_037_lesion_01.nii.gz,2,ct+seg,0.579,0.799,135,98,34,169.0,233
ULSDL3D_000156_02_01_037_lesion_01.nii.gz,3,ct+seg+box,0.718,0.935,158,62,11,169.0,220
ULSDL3D_000156_02_01_037_lesion_01.nii.gz,5,ct+seg+2box,0.75,0.852,144,48,25,169.0,192
ULSDL3D_000156_02_01_037_lesion_01.nii.gz,6,ct+seg+mask,0.782,0.828,140,39,29,169.0,179
ULSDL3D_000156_02_01_037_lesion_01.nii.gz,7,ct+seg+2mask,0.935,0.68,115,8,54,169.0,123
ULSDL3D_000167_02_01_030_lesion_01.nii.gz,1,ct,0.0,0.0,0,75,617,617.0,75
ULSDL3D_000167_02_01_030_lesion_01.nii.gz,2,ct+seg,0.939,0.572,353,23,264,617.0,376
ULSDL3D_000167_02_01_030_lesion_01.nii.gz,3,ct+seg+box,0.919,0.703,434,38,183,617.0,472
ULSDL3D_000167_02_01_030_lesion_01.nii.gz,5,ct+seg+2box,0.88,0.783,483,66,134,617.0,549
ULSDL3D_000167_02_01_030_lesion_01.nii.gz,6,ct+seg+mask,0.863,0.768,474,75,143,617.0,549
ULSDL3D_000167_02_01_030_lesion_01.nii.gz,7,ct+seg+2mask,0.939,0.875,540,35,77,617.0,575
ULSDL3D_000205_01_02_173_lesion_01.nii.gz,1,ct,0.0,0.0,0,2683,2771,2771.0,2683
ULSDL3D_000205_01_02_173_lesion_01.nii.gz,2,ct+seg,0.037,0.005,14,364,2757,2771.0,378
ULSDL3D_000205_01_02_173_lesion_01.nii.gz,3,ct+seg+box,0.732,0.719,1992,728,779,2771.0,2720
ULSDL3D_000205_01_02_173_lesion_01.nii.gz,5,ct+seg+2box,0.85,0.821,2275,403,496,2771.0,2678
ULSDL3D_000205_01_02_173_lesion_01.nii.gz,6,ct+seg+mask,0.746,0.72,1995,678,776,2771.0,2673
ULSDL3D_000205_01_02_173_lesion_01.nii.gz,7,ct+seg+2mask,0.924,0.822,2279,188,492,2771.0,2467
ULSDL3D_000224_04_02_143_lesion_01.nii.gz,1,ct,0.503,0.807,1230,1217,294,1524.0,2447
ULSDL3D_000224_04_02_143_lesion_01.nii.gz,2,ct+seg,0.265,0.599,913,2536,611,1524.0,3449
ULSDL3D_000224_04_02_143_lesion_01.nii.gz,3,ct+seg+box,0.0,0.0,0,0,1524,1524.0,0
ULSDL3D_000224_04_02_143_lesion_01.nii.gz,5,ct+seg+2box,0.691,0.869,1324,592,200,1524.0,1916
ULSDL3D_000224_04_02_143_lesion_01.nii.gz,6,ct+seg+mask,0.489,0.551,840,879,684,1524.0,1719
ULSDL3D_000224_04_02_143_lesion_01.nii.gz,7,ct+seg+2mask,0.88,0.788,1201,163,323,1524.0,1364
ULSDL3D_000228_03_02_067_lesion_01.nii.gz,1,ct,0.0,0.0,0,486,373,373.0,486
ULSDL3D_000228_03_02_067_lesion_01.nii.gz,2,ct+seg,0.363,0.831,310,543,63,373.0,853
ULSDL3D_000228_03_02_067_lesion_01.nii.gz,3,ct+seg+box,0.687,0.654,244,111,129,373.0,355
ULSDL3D_000228_03_02_067_lesion_01.nii.gz,5,ct+seg+2box,0.784,0.874,326,90,47,373.0,416
ULSDL3D_000228_03_02_067_lesion_01.nii.gz,6,ct+seg+mask,0.631,0.651,243,142,130,373.0,385
ULSDL3D_000228_03_02_067_lesion_01.nii.gz,7,ct+seg+2mask,0.963,0.906,338,13,35,373.0,351
ULSDL3D_000237_02_01_056_lesion_01.nii.gz,1,ct,0.0,0.0,0,31,98,98.0,31
ULSDL3D_000237_02_01_056_lesion_01.nii.gz,2,ct+seg,0.745,0.388,38,13,60,98.0,51
ULSDL3D_000237_02_01_056_lesion_01.nii.gz,3,ct+seg+box,0.932,0.704,69,5,29,98.0,74
ULSDL3D_000237_02_01_056_lesion_01.nii.gz,5,ct+seg+2box,0.955,0.857,84,4,14,98.0,88
ULSDL3D_000237_02_01_056_lesion_01.nii.gz,6,ct+seg+mask,1.0,0.622,61,0,37,98.0,61
ULSDL3D_000237_02_01_056_lesion_01.nii.gz,7,ct+seg+2mask,1.0,0.857,84,0,14,98.0,84
ULSDL3D_000251_12_02_491_lesion_01.nii.gz,1,ct,0.032,0.128,151,4627,1028,1179.0,4778
ULSDL3D_000251_12_02_491_lesion_01.nii.gz,2,ct+seg,0.233,0.513,605,1991,574,1179.0,2596
ULSDL3D_000251_12_02_491_lesion_01.nii.gz,3,ct+seg+box,0.607,0.781,921,597,258,1179.0,1518
ULSDL3D_000251_12_02_491_lesion_01.nii.gz,5,ct+seg+2box,0.926,0.437,515,41,664,1179.0,556
ULSDL3D_000251_12_02_491_lesion_01.nii.gz,6,ct+seg+mask,0.585,0.848,1000,708,179,1179.0,1708
ULSDL3D_000251_12_02_491_lesion_01.nii.gz,7,ct+seg+2mask,0.957,0.45,531,24,648,1179.0,555
ULSDL3D_000260_11_01_109_lesion_01.nii.gz,1,ct,0.778,0.875,488,139,70,558.0,627
ULSDL3D_000260_11_01_109_lesion_01.nii.gz,2,ct+seg,0.622,0.93,519,316,39,558.0,835
ULSDL3D_000260_11_01_109_lesion_01.nii.gz,3,ct+seg+box,0.991,0.577,322,3,236,558.0,325
ULSDL3D_000260_11_01_109_lesion_01.nii.gz,5,ct+seg+2box,0.972,0.695,388,11,170,558.0,399
ULSDL3D_000260_11_01_109_lesion_01.nii.gz,6,ct+seg+mask,0.916,0.624,348,32,210,558.0,380
ULSDL3D_000260_11_01_109_lesion_01.nii.gz,7,ct+seg+2mask,0.973,0.855,477,13,81,558.0,490
ULSDL3D_000294_01_01_118_lesion_01.nii.gz,1,ct,0.003,0.0,1,345,2107,2108.0,346
ULSDL3D_000294_01_01_118_lesion_01.nii.gz,2,ct+seg,0.418,0.662,1395,1946,713,2108.0,3341
ULSDL3D_000294_01_01_118_lesion_01.nii.gz,3,ct+seg+box,0.969,0.541,1140,37,968,2108.0,1177
ULSDL3D_000294_01_01_118_lesion_01.nii.gz,5,ct+seg+2box,0.884,0.711,1499,197,609,2108.0,1696
ULSDL3D_000294_01_01_118_lesion_01.nii.gz,6,ct+seg+mask,0.896,0.489,1030,119,1078,2108.0,1149
ULSDL3D_000294_01_01_118_lesion_01.nii.gz,7,ct+seg+2mask,0.943,0.774,1632,98,476,2108.0,1730
ULSDL3D_000306_04_01_023_lesion_01.nii.gz,1,ct,0.485,0.555,198,210,159,357.0,408
ULSDL3D_000306_04_01_023_lesion_01.nii.gz,2,ct+seg,0.965,0.611,218,8,139,357.0,226
ULSDL3D_000306_04_01_023_lesion_01.nii.gz,3,ct+seg+box,0.949,0.627,224,12,133,357.0,236
ULSDL3D_000306_04_01_023_lesion_01.nii.gz,5,ct+seg+2box,0.713,0.854,305,123,52,357.0,428
ULSDL3D_000306_04_01_023_lesion_01.nii.gz,6,ct+seg+mask,0.819,0.661,236,52,121,357.0,288
ULSDL3D_000306_04_01_023_lesion_01.nii.gz,7,ct+seg+2mask,0.928,0.905,323,25,34,357.0,348
ULSDL3D_000306_06_01_027_lesion_01.nii.gz,1,ct,0.793,0.903,241,63,26,267.0,304
ULSDL3D_000306_06_01_027_lesion_01.nii.gz,2,ct+seg,0.908,0.888,237,24,30,267.0,261
ULSDL3D_000306_06_01_027_lesion_01.nii.gz,3,ct+seg+box,0.843,0.843,225,42,42,267.0,267
ULSDL3D_000306_06_01_027_lesion_01.nii.gz,5,ct+seg+2box,0.791,0.88,235,62,32,267.0,297
ULSDL3D_000306_06_01_027_lesion_01.nii.gz,6,ct+seg+mask,0.878,0.783,209,29,58,267.0,238
ULSDL3D_000306_06_01_027_lesion_01.nii.gz,7,ct+seg+2mask,0.945,0.899,240,14,27,267.0,254
ULSDL3D_000306_07_01_181_lesion_01.nii.gz,1,ct,0.268,0.851,595,1623,104,699.0,2218
ULSDL3D_000306_07_01_181_lesion_01.nii.gz,2,ct+seg,0.838,0.807,564,109,135,699.0,673
ULSDL3D_000306_07_01_181_lesion_01.nii.gz,3,ct+seg+box,0.0,0.0,0,0,699,699.0,0
ULSDL3D_000306_07_01_181_lesion_01.nii.gz,5,ct+seg+2box,0.984,0.69,482,8,217,699.0,490
ULSDL3D_000306_07_01_181_lesion_01.nii.gz,6,ct+seg+mask,0.201,0.528,369,1466,330,699.0,1835
ULSDL3D_000306_07_01_181_lesion_01.nii.gz,7,ct+seg+2mask,0.996,0.667,466,2,233,699.0,468
ULSDL3D_000312_02_01_033_lesion_01.nii.gz,1,ct,0.0,0.0,0,158,236,236.0,158
ULSDL3D_000312_02_01_033_lesion_01.nii.gz,2,ct+seg,0.144,0.326,77,456,159,236.0,533
ULSDL3D_000312_02_01_033_lesion_01.nii.gz,3,ct+seg+box,0.627,0.669,158,94,78,236.0,252
ULSDL3D_000312_02_01_033_lesion_01.nii.gz,5,ct+seg+2box,0.864,0.729,172,27,64,236.0,199
ULSDL3D_000312_02_01_033_lesion_01.nii.gz,6,ct+seg+mask,0.616,0.686,162,101,74,236.0,263
ULSDL3D_000312_02_01_033_lesion_01.nii.gz,7,ct+seg+2mask,0.936,0.809,191,13,45,236.0,204
ULSDL3D_000332_06_02_264_lesion_01.nii.gz,1,ct,0.066,0.291,58,816,141,199.0,874
ULSDL3D_000332_06_02_264_lesion_01.nii.gz,2,ct+seg,0.0,0.0,0,302,199,199.0,302
ULSDL3D_000332_06_02_264_lesion_01.nii.gz,3,ct+seg+box,0.0,0.0,0,0,199,199.0,0
ULSDL3D_000332_06_02_264_lesion_01.nii.gz,5,ct+seg+2box,0.929,0.327,65,5,134,199.0,70
ULSDL3D_000332_06_02_264_lesion_01.nii.gz,6,ct+seg+mask,0.0,0.0,0,149,199,199.0,149
ULSDL3D_000332_06_02_264_lesion_01.nii.gz,7,ct+seg+2mask,0.94,0.392,78,5,121,199.0,83
ULSDL3D_000336_01_01_006_lesion_01.nii.gz,1,ct,0.291,0.237,67,163,216,283.0,230
ULSDL3D_000336_01_01_006_lesion_01.nii.gz,2,ct+seg,0.509,0.594,168,162,115,283.0,330
ULSDL3D_000336_01_01_006_lesion_01.nii.gz,3,ct+seg+box,0.847,0.509,144,26,139,283.0,170
ULSDL3D_000336_01_01_006_lesion_01.nii.gz,5,ct+seg+2box,0.874,0.615,174,25,109,283.0,199
ULSDL3D_000336_01_01_006_lesion_01.nii.gz,6,ct+seg+mask,0.821,0.47,133,29,150,283.0,162
ULSDL3D_000336_01_01_006_lesion_01.nii.gz,7,ct+seg+2mask,0.925,0.569,161,13,122,283.0,174
ULSDL3D_000358_03_01_073_lesion_01.nii.gz,1,ct,0.0,0.0,0,325,205,205.0,325
ULSDL3D_000358_03_01_073_lesion_01.nii.gz,2,ct+seg,0.342,0.8,164,315,41,205.0,479
ULSDL3D_000358_03_01_073_lesion_01.nii.gz,3,ct+seg+box,0.864,0.527,108,17,97,205.0,125
ULSDL3D_000358_03_01_073_lesion_01.nii.gz,5,ct+seg+2box,0.734,0.766,157,57,48,205.0,214
ULSDL3D_000358_03_01_073_lesion_01.nii.gz,6,ct+seg+mask,0.93,0.454,93,7,112,205.0,100
ULSDL3D_000358_03_01_073_lesion_01.nii.gz,7,ct+seg+2mask,0.864,0.683,140,22,65,205.0,162
ULSDL3D_000360_01_01_028_lesion_01.nii.gz,1,ct,0.0,0.0,0,176,276,276.0,176
ULSDL3D_000360_01_01_028_lesion_01.nii.gz,2,ct+seg,0.239,0.438,121,385,155,276.0,506
ULSDL3D_000360_01_01_028_lesion_01.nii.gz,3,ct+seg+box,0.783,0.851,235,65,41,276.0,300
ULSDL3D_000360_01_01_028_lesion_01.nii.gz,5,ct+seg+2box,0.826,0.841,232,49,44,276.0,281
ULSDL3D_000360_01_01_028_lesion_01.nii.gz,6,ct+seg+mask,0.875,0.815,225,32,51,276.0,257
ULSDL3D_000360_01_01_028_lesion_01.nii.gz,7,ct+seg+2mask,0.932,0.797,220,16,56,276.0,236
ULSDL3D_000372_05_01_301_lesion_01.nii.gz,1,ct,0.0,0.0,0,2753,846,846.0,2753
ULSDL3D_000372_05_01_301_lesion_01.nii.gz,2,ct+seg,0.929,0.774,655,50,191,846.0,705
ULSDL3D_000372_05_01_301_lesion_01.nii.gz,3,ct+seg+box,0.826,0.573,485,102,361,846.0,587
ULSDL3D_000372_05_01_301_lesion_01.nii.gz,5,ct+seg+2box,0.869,0.704,596,90,250,846.0,686
ULSDL3D_000372_05_01_301_lesion_01.nii.gz,6,ct+seg+mask,0.82,0.677,573,126,273,846.0,699
ULSDL3D_000372_05_01_301_lesion_01.nii.gz,7,ct+seg+2mask,0.955,0.651,551,26,295,846.0,577
ULSDL3D_000388_08_03_179_lesion_01.nii.gz,1,ct,0.155,0.877,121,662,17,138.0,783
ULSDL3D_000388_08_03_179_lesion_01.nii.gz,2,ct+seg,1.0,0.022,3,0,135,138.0,3
ULSDL3D_000388_08_03_179_lesion_01.nii.gz,3,ct+seg+box,0.71,0.514,71,29,67,138.0,100
ULSDL3D_000388_08_03_179_lesion_01.nii.gz,5,ct+seg+2box,0.701,0.493,68,29,70,138.0,97
ULSDL3D_000388_08_03_179_lesion_01.nii.gz,6,ct+seg+mask,0.67,0.514,71,35,67,138.0,106
ULSDL3D_000388_08_03_179_lesion_01.nii.gz,7,ct+seg+2mask,0.743,0.399,55,19,83,138.0,74
ULSDL3D_000426_02_01_093_lesion_01.nii.gz,1,ct,0.0,0.0,0,99,2527,2527.0,99
ULSDL3D_000426_02_01_093_lesion_01.nii.gz,2,ct+seg,0.084,0.066,167,1828,2360,2527.0,1995
ULSDL3D_000426_02_01_093_lesion_01.nii.gz,3,ct+seg+box,0.948,0.267,675,37,1852,2527.0,712
ULSDL3D_000426_02_01_093_lesion_01.nii.gz,5,ct+seg+2box,0.859,0.76,1920,316,607,2527.0,2236
ULSDL3D_000426_02_01_093_lesion_01.nii.gz,6,ct+seg+mask,0.962,0.281,709,28,1818,2527.0,737
ULSDL3D_000426_02_01_093_lesion_01.nii.gz,7,ct+seg+2mask,0.915,0.853,2155,199,372,2527.0,2354
ULSDL3D_000441_02_01_187_lesion_01.nii.gz,1,ct,0.367,0.734,669,1155,243,912.0,1824
ULSDL3D_000441_02_01_187_lesion_01.nii.gz,2,ct+seg,0.879,0.73,666,92,246,912.0,758
ULSDL3D_000441_02_01_187_lesion_01.nii.gz,3,ct+seg+box,0.928,0.562,513,40,399,912.0,553
ULSDL3D_000441_02_01_187_lesion_01.nii.gz,5,ct+seg+2box,0.97,0.598,545,17,367,912.0,562
ULSDL3D_000441_02_01_187_lesion_01.nii.gz,6,ct+seg+mask,0.946,0.673,614,35,298,912.0,649
ULSDL3D_000441_02_01_187_lesion_01.nii.gz,7,ct+seg+2mask,0.948,0.663,605,33,307,912.0,638
ULSDL3D_000445_06_01_053_lesion_01.nii.gz,1,ct,0.0,0.0,0,711,1853,1853.0,711
ULSDL3D_000445_06_01_053_lesion_01.nii.gz,2,ct+seg,0.298,0.052,97,228,1756,1853.0,325
ULSDL3D_000445_06_01_053_lesion_01.nii.gz,3,ct+seg+box,0.661,0.872,1615,828,238,1853.0,2443
ULSDL3D_000445_06_01_053_lesion_01.nii.gz,5,ct+seg+2box,0.942,0.795,1473,90,380,1853.0,1563
ULSDL3D_000445_06_01_053_lesion_01.nii.gz,6,ct+seg+mask,0.594,0.959,1777,1216,76,1853.0,2993
ULSDL3D_000445_06_01_053_lesion_01.nii.gz,7,ct+seg+2mask,0.963,0.859,1592,61,261,1853.0,1653
ULSDL3D_000453_04_02_496_lesion_01.nii.gz,1,ct,0.285,0.494,306,768,313,619.0,1074
ULSDL3D_000453_04_02_496_lesion_01.nii.gz,2,ct+seg,0.0,0.0,0,1891,619,619.0,1891
ULSDL3D_000453_04_02_496_lesion_01.nii.gz,3,ct+seg+box,0.744,0.698,432,149,187,619.0,581
ULSDL3D_000453_04_02_496_lesion_01.nii.gz,5,ct+seg+2box,0.74,0.8,495,174,124,619.0,669
ULSDL3D_000453_04_02_496_lesion_01.nii.gz,6,ct+seg+mask,0.801,0.625,387,96,232,619.0,483
ULSDL3D_000453_04_02_496_lesion_01.nii.gz,7,ct+seg+2mask,0.901,0.68,421,46,198,619.0,467
ULSDL3D_000460_05_01_069_lesion_01.nii.gz,1,ct,0.323,0.841,227,476,43,270.0,703
ULSDL3D_000460_05_01_069_lesion_01.nii.gz,2,ct+seg,0.441,0.819,221,280,49,270.0,501
ULSDL3D_000460_05_01_069_lesion_01.nii.gz,3,ct+seg+box,0.855,0.893,241,41,29,270.0,282
ULSDL3D_000460_05_01_069_lesion_01.nii.gz,5,ct+seg+2box,0.821,0.937,253,55,17,270.0,308
ULSDL3D_000460_05_01_069_lesion_01.nii.gz,6,ct+seg+mask,0.888,0.848,229,29,41,270.0,258
ULSDL3D_000460_05_01_069_lesion_01.nii.gz,7,ct+seg+2mask,0.94,0.926,250,16,20,270.0,266
ULSDL3D_000489_06_01_070_lesion_01.nii.gz,1,ct,0.269,0.601,86,234,57,143.0,320
ULSDL3D_000489_06_01_070_lesion_01.nii.gz,2,ct+seg,0.956,0.608,87,4,56,143.0,91
ULSDL3D_000489_06_01_070_lesion_01.nii.gz,3,ct+seg+box,1.0,0.35,50,0,93,143.0,50
ULSDL3D_000489_06_01_070_lesion_01.nii.gz,5,ct+seg+2box,0.741,0.881,126,44,17,143.0,170
ULSDL3D_000489_06_01_070_lesion_01.nii.gz,6,ct+seg+mask,1.0,0.385,55,0,88,143.0,55
ULSDL3D_000489_06_01_070_lesion_01.nii.gz,7,ct+seg+2mask,0.861,0.734,105,17,38,143.0,122
ULSDL3D_000491_02_01_054_lesion_01.nii.gz,1,ct,0.0,0.0,0,1420,209,209.0,1420
ULSDL3D_000491_02_01_054_lesion_01.nii.gz,2,ct+seg,0.01,0.344,72,7041,137,209.0,7113
ULSDL3D_000491_02_01_054_lesion_01.nii.gz,3,ct+seg+box,0.728,0.885,185,69,24,209.0,254
ULSDL3D_000491_02_01_054_lesion_01.nii.gz,5,ct+seg+2box,0.769,0.923,193,58,16,209.0,251
ULSDL3D_000491_02_01_054_lesion_01.nii.gz,6,ct+seg+mask,0.752,0.914,191,63,18,209.0,254
ULSDL3D_000491_02_01_054_lesion_01.nii.gz,7,ct+seg+2mask,0.96,0.919,192,8,17,209.0,200
ULSDL3D_000492_01_01_082_lesion_01.nii.gz,1,ct,0.438,0.87,114,146,17,131.0,260
ULSDL3D_000492_01_01_082_lesion_01.nii.gz,2,ct+seg,0.772,0.878,115,34,16,131.0,149
ULSDL3D_000492_01_01_082_lesion_01.nii.gz,3,ct+seg+box,0.731,0.931,122,45,9,131.0,167
ULSDL3D_000492_01_01_082_lesion_01.nii.gz,5,ct+seg+2box,0.85,0.954,125,22,6,131.0,147
ULSDL3D_000492_01_01_082_lesion_01.nii.gz,6,ct+seg+mask,0.839,0.916,120,23,11,131.0,143
ULSDL3D_000492_01_01_082_lesion_01.nii.gz,7,ct+seg+2mask,0.991,0.878,115,1,16,131.0,116
ULSDL3D_000502_02_01_054_lesion_01.nii.gz,1,ct,0.13,0.944,167,1120,10,177.0,1287
ULSDL3D_000502_02_01_054_lesion_01.nii.gz,2,ct+seg,0.0,0.0,0,295,177,177.0,295
ULSDL3D_000502_02_01_054_lesion_01.nii.gz,3,ct+seg+box,0.791,0.729,129,34,48,177.0,163
ULSDL3D_000502_02_01_054_lesion_01.nii.gz,5,ct+seg+2box,0.913,0.831,147,14,30,177.0,161
ULSDL3D_000502_02_01_054_lesion_01.nii.gz,6,ct+seg+mask,0.667,0.836,148,74,29,177.0,222
ULSDL3D_000502_02_01_054_lesion_01.nii.gz,7,ct+seg+2mask,0.946,0.893,158,9,19,177.0,167
ULSDL3D_000526_03_01_053_lesion_01.nii.gz,1,ct,0.172,0.594,296,1429,202,498.0,1725
ULSDL3D_000526_03_01_053_lesion_01.nii.gz,2,ct+seg,0.176,0.803,400,1872,98,498.0,2272
ULSDL3D_000526_03_01_053_lesion_01.nii.gz,3,ct+seg+box,0.932,0.739,368,27,130,498.0,395
ULSDL3D_000526_03_01_053_lesion_01.nii.gz,5,ct+seg+2box,0.897,0.871,434,50,64,498.0,484
ULSDL3D_000526_03_01_053_lesion_01.nii.gz,6,ct+seg+mask,0.92,0.763,380,33,118,498.0,413
ULSDL3D_000526_03_01_053_lesion_01.nii.gz,7,ct+seg+2mask,0.914,0.936,466,44,32,498.0,510
